time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2021-08-17 13:30:50.966889,2:36:27.830000,OFF,MAXN,59,87,58,61,0,1341868,1341868,1341868,503,25,OFF,OFF,OFF,0.0,44.0,40.0,36.0,35.5,37.5,2885,3449
2021-08-17 13:31:20.968950,2:36:57.830000,OFF,MAXN,15,11,8,98,0,3468140,3468140,3468140,509,25,OFF,OFF,OFF,0.0,44.5,39.0,36.5,36.5,38.5,2521,3376
2021-08-17 13:31:50.996894,2:37:27.860000,OFF,MAXN,11,5,100,6,0,3466308,3466308,3466308,510,25,OFF,OFF,OFF,0.0,45.0,39.5,38.5,36.5,39.25,2926,3037
2021-08-17 13:32:21.024891,2:37:57.880000,OFF,MAXN,85,16,41,18,0,3671380,3671380,3671380,521,25,OFF,OFF,OFF,0.0,45.5,42.0,39.0,37.0,40.5,3214,2935
2021-08-17 13:32:51.050048,2:38:28.010000,OFF,MAXN,4,2,14,2,0,3885760,3885760,3885760,897,25,OFF,OFF,OFF,0.0,45.0,39.5,37.0,36.5,39.25,2315,2907
2021-08-17 13:33:21.480901,2:38:58.360000,OFF,MAXN,78,90,91,86,11,3691928,3691928,3691928,1670,25,OFF,OFF,OFF,0.0,47.0,42.5,39.5,39.5,41.0,4818,3094
2021-08-17 13:33:51.532884,2:39:28.390000,OFF,MAXN,42,45,100,61,39,3533724,3533724,3533724,1722,25,OFF,OFF,OFF,0.0,49.5,45.0,41.0,40.0,41.75,5259,3356
2021-08-17 13:34:21.560879,2:39:58.420000,OFF,MAXN,36,55,31,100,10,3538776,3538776,3538776,1719,25,OFF,OFF,OFF,0.0,51.0,43.5,42.5,41.0,43.75,4218,3556
2021-08-17 13:34:51.588873,2:40:28.450000,OFF,MAXN,76,98,55,32,10,3540064,3540064,3540064,1717,25,OFF,OFF,OFF,0.0,51.0,47.0,43.0,42.5,44.25,4851,3695
2021-08-17 13:35:21.616932,2:40:58.480000,OFF,MAXN,0,3,3,100,0,3539304,3539304,3539304,1717,25,OFF,OFF,OFF,0.0,50.0,44.0,43.5,41.5,44.0,2521,3670
2021-08-17 13:35:51.647616,2:41:28.510000,OFF,MAXN,10,15,100,12,0,3539904,3539904,3539904,1717,25,OFF,OFF,OFF,0.0,50.0,43.5,43.5,41.5,43.75,2521,3582
2021-08-17 13:36:21.676880,2:41:58.540000,OFF,MAXN,74,33,62,100,12,3544816,3544816,3544816,1729,25,OFF,OFF,OFF,0.0,52.0,46.0,44.0,43.0,44.75,4932,3607
2021-08-17 13:36:51.704944,2:42:28.560000,OFF,MAXN,30,70,26,100,9,3527576,3527576,3527576,1729,25,OFF,OFF,OFF,0.0,52.0,47.0,44.0,43.5,46.25,4136,3684
2021-08-17 13:37:21.733159,2:42:58.590000,OFF,MAXN,37,89,28,100,17,3528564,3528564,3528564,1729,25,OFF,OFF,OFF,0.0,53.0,48.0,45.0,44.5,47.0,4416,3762
2021-08-17 13:37:51.760907,2:43:28.620000,OFF,MAXN,50,50,100,34,85,3531348,3531348,3531348,1729,25,OFF,OFF,OFF,0.0,55.5,48.5,46.5,45.0,48.0,5096,3836
2021-08-17 13:38:21.791992,2:43:58.650000,OFF,MAXN,96,12,10,17,0,3527272,3527272,3527272,1729,25,OFF,OFF,OFF,0.0,53.0,48.5,46.0,44.0,46.5,2600,3785
2021-08-17 13:38:51.796523,2:44:28.650000,OFF,MAXN,2,98,5,0,0,3527592,3527592,3527592,1729,25,OFF,OFF,OFF,0.0,53.0,46.5,45.5,43.5,46.0,2683,3725
2021-08-17 13:39:21.824847,2:44:58.680000,OFF,MAXN,82,24,32,100,51,3554536,3554536,3554536,1724,25,OFF,OFF,OFF,0.0,55.5,49.0,46.5,45.5,47.75,5405,3782
2021-08-17 13:39:51.852900,2:45:28.710000,OFF,MAXN,36,79,35,100,12,3550984,3550984,3550984,1724,25,OFF,OFF,OFF,0.0,55.0,49.5,46.0,46.0,48.0,4294,3828
2021-08-17 13:40:21.880895,2:45:58.740000,OFF,MAXN,48,50,32,100,58,3551368,3551368,3551368,1724,25,OFF,OFF,OFF,0.0,57.5,50.5,48.5,47.0,48.75,5689,3874
2021-08-17 13:40:51.894090,2:46:28.750000,OFF,MAXN,44,14,24,100,0,3551572,3551572,3551572,1724,25,OFF,OFF,OFF,0.0,55.5,51.0,46.5,47.0,47.5,4096,3896
2021-08-17 13:41:21.921047,2:46:58.780000,OFF,MAXN,28,63,44,100,0,3550620,3550620,3550620,1724,25,OFF,OFF,OFF,0.0,55.5,49.5,46.0,46.5,47.75,3410,3867
2021-08-17 13:41:51.948928,2:47:28.810000,OFF,MAXN,51,34,92,97,11,3490384,3490384,3490384,1806,25,OFF,OFF,OFF,0.0,56.0,50.0,47.5,47.5,49.25,4539,3856
2021-08-17 13:42:21.976865,2:47:58.840000,OFF,MAXN,68,98,60,22,15,3491108,3491108,3491108,1806,25,OFF,OFF,OFF,0.0,56.5,51.5,48.5,47.5,50.0,4899,3896
2021-08-17 13:42:52.004859,2:48:28.860000,OFF,MAXN,54,100,45,8,15,3490228,3490228,3490228,1806,25,OFF,OFF,OFF,31.372549019607842,57.0,51.0,48.5,48.0,50.25,4695,3929
2021-08-17 13:43:22.033111,2:48:58.890000,OFF,MAXN,38,20,76,98,15,3490740,3490740,3490740,1806,25,OFF,OFF,OFF,31.372549019607842,58.5,52.0,49.0,49.0,50.25,4851,3959
2021-08-17 13:43:52.061023,2:49:28.920000,OFF,MAXN,20,47,10,98,0,3493140,3493140,3493140,1806,25,OFF,OFF,OFF,31.372549019607842,57.0,51.0,47.5,48.0,49.5,3451,3947
2021-08-17 13:44:22.089064,2:49:58.950000,OFF,MAXN,14,100,14,18,64,3493988,3493988,3493988,1806,25,OFF,OFF,OFF,31.372549019607842,56.5,51.5,47.0,47.5,49.25,3815,3925
