{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 8, 'CPU2': 15, 'CPU3': 10, 'CPU4': 10, 'GPU': 0, 'RAM': 2845208, 'EMC': 2845208, 'IRAM': 2845208, 'SWAP': 5, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 47.5, 'Temp CPU': 41.5, 'Temp GPU': 39.0, 'Temp PLL': 38.5, 'Temp thermal': 39.75, 'power cur': 2604, 'power avg': 2580}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 61, 'CPU2': 65, 'CPU3': 61, 'CPU4': 58, 'GPU': 26, 'RAM': 2844888, 'EMC': 2844888, 'IRAM': 2844888, 'SWAP': 5, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 48.0, 'Temp CPU': 42.0, 'Temp GPU': 39.5, 'Temp PLL': 39.0, 'Temp thermal': 40.5, 'power cur': 3415, 'power avg': 2578}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 46, 'CPU2': 54, 'CPU3': 45, 'CPU4': 45, 'GPU': 4, 'RAM': 2884576, 'EMC': 2884576, 'IRAM': 2884576, 'SWAP': 7, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 48.0, 'Temp CPU': 42.0, 'Temp GPU': 39.0, 'Temp PLL': 39.0, 'Temp thermal': 40.5, 'power cur': 2889, 'power avg': 2885}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 100, 'CPU2': 14, 'CPU3': 10, 'CPU4': 8, 'GPU': 0, 'RAM': 2722732, 'EMC': 2722732, 'IRAM': 2722732, 'SWAP': 1, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 42.0, 'Temp CPU': 37.5, 'Temp GPU': 33.5, 'Temp PLL': 33.5, 'Temp thermal': 35.25, 'power cur': 3008, 'power avg': 3384}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 97, 'CPU2': 2, 'CPU3': 3, 'CPU4': 5, 'GPU': 0, 'RAM': 2722940, 'EMC': 2722940, 'IRAM': 2722940, 'SWAP': 1, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 42.5, 'Temp CPU': 38.5, 'Temp GPU': 36.0, 'Temp PLL': 34.0, 'Temp thermal': 37.0, 'power cur': 2641, 'power avg': 3110}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 26, 'CPU2': 100, 'CPU3': 16, 'CPU4': 39, 'GPU': 0, 'RAM': 2966992, 'EMC': 2966992, 'IRAM': 2966992, 'SWAP': 12, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.5, 'Temp GPU': 37.0, 'Temp PLL': 35.0, 'Temp thermal': 38.25, 'power cur': 3168, 'power avg': 3024}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 26, 'CPU2': 32, 'CPU3': 98, 'CPU4': 27, 'GPU': 70, 'RAM': 3398520, 'EMC': 3398520, 'IRAM': 3398520, 'SWAP': 146, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 44.5, 'Temp CPU': 38.5, 'Temp GPU': 36.0, 'Temp PLL': 36.5, 'Temp thermal': 37.0, 'power cur': 4096, 'power avg': 3143}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 16, 'CPU2': 100, 'CPU3': 6, 'CPU4': 12, 'GPU': 0, 'RAM': 3349968, 'EMC': 3349968, 'IRAM': 3349968, 'SWAP': 146, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 45.0, 'Temp CPU': 39.5, 'Temp GPU': 38.0, 'Temp PLL': 36.0, 'Temp thermal': 39.0, 'power cur': 2683, 'power avg': 3153}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 18, 'CPU2': 98, 'CPU3': 6, 'CPU4': 17, 'GPU': 0, 'RAM': 3350516, 'EMC': 3350516, 'IRAM': 3350516, 'SWAP': 146, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 45.0, 'Temp CPU': 39.5, 'Temp GPU': 39.0, 'Temp PLL': 37.0, 'Temp thermal': 39.75, 'power cur': 2765, 'power avg': 3102}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 27, 'CPU2': 25, 'CPU3': 98, 'CPU4': 27, 'GPU': 16, 'RAM': 3257904, 'EMC': 3257904, 'IRAM': 3257904, 'SWAP': 289, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 46.0, 'Temp CPU': 40.5, 'Temp GPU': 37.0, 'Temp PLL': 38.0, 'Temp thermal': 39.0, 'power cur': 3456, 'power avg': 3129}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 8, 'CPU2': 100, 'CPU3': 15, 'CPU4': 15, 'GPU': 0, 'RAM': 3268308, 'EMC': 3268308, 'IRAM': 3268308, 'SWAP': 287, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 46.5, 'Temp CPU': 41.0, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 40.5, 'power cur': 2848, 'power avg': 3160}
